scene,speaker,solo_interior,solo_seams,overlap_proposed,overlap_blind,eval_margin
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,inf,48.779610413654666,-0.8007653869949606,0.9594961130410771,0.17346322316956375
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,inf,78.6915879708628,-3.283889256575596,-7.782235824976019,0.10135603112071456
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,inf,56.918001891528796,9.225115095262295,-4.655378285296776,0.26349499875230564
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,inf,36.31731308691643,6.63380736830114,9.711836885063418,0.20328271935922404
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,inf,22.903131980869343,14.105642961966629,15.167188676011472,-0.08823049145082051
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,inf,59.57742287563331,11.392117342832602,13.105639797595934,0.1770224382822302
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,inf,41.282690680227894,2.830741997219277,3.735566578799653,0.2904917862852402
260-123286-0003_1221-135766-0008_2830-3980-0067,s3,inf,35.46705641841059,11.79070976080302,1.4412284329539495,0.14267929194529572
260-123286-0005_4992-41797-0009_61-70968-0030,s1,inf,60.210006444151674,-4.4727279793203465,9.957098695119909,-0.10221405756816693
260-123286-0005_4992-41797-0009_61-70968-0030,s2,inf,29.706664903533397,5.453508710738672,7.5401645617311654,0.3436486021328732
260-123286-0005_4992-41797-0009_61-70968-0030,s3,inf,37.14281580566991,12.033881935287408,0.1955368979705953,0.03399654620165904
61-70970-0033_4446-2271-0021_1089-134691-0025,s1,inf,36.80795569015393,9.173809582057007,-6.550891258210619,0.07240145776306273
61-70970-0033_4446-2271-0021_1089-134691-0025,s2,inf,30.171742869173436,1.334824563271413,-1.3759760901768887,0.1348573375614347
61-70970-0033_4446-2271-0021_1089-134691-0025,s3,inf,68.86225546923002,3.6016086061789148,13.150206825322861,0.11698559426686228
7021-79730-0006_5142-36586-0000_2300-131720-0009,s1,inf,inf,9.835637643547825,-5.915369541835409,0.12614338122749613
7021-79730-0006_5142-36586-0000_2300-131720-0009,s2,inf,46.32813340921512,6.426248201266031,9.488099074444257,0.33535338964320305
7021-79730-0006_5142-36586-0000_2300-131720-0009,s3,inf,inf,nan,nan,0.08578475266616126
6829-68771-0022_1221-135766-0014_5683-32865-0004,s1,inf,48.27182121293628,-6.50231999498101,0.6880272236459724,0.08395375667269567
6829-68771-0022_1221-135766-0014_5683-32865-0004,s2,inf,42.26514469130688,2.8121069458765975,6.58259822952803,-0.008583984608142026
6829-68771-0022_1221-135766-0014_5683-32865-0004,s3,inf,36.23515725527884,-4.776722677037481,-3.8485681276253607,0.13104820812292028
4446-2275-0013_908-157963-0000_1284-1180-0030,s1,inf,39.557924162062434,0.36698433541104014,-28.632919333034543,-0.08839572618852409
4446-2275-0013_908-157963-0000_1284-1180-0030,s2,inf,48.549292503427154,10.204099167647076,11.445028617861928,0.23120807395739673
4446-2275-0013_908-157963-0000_1284-1180-0030,s3,inf,53.83877305322067,8.740771570708262,9.97465009554768,0.07692656787355778
7176-92135-0002_2830-3979-0001_4446-2271-0016,s1,inf,36.100586916392814,-4.431512695536528,-7.445900752340661,-0.0678475059731175
7176-92135-0002_2830-3979-0001_4446-2271-0016,s2,inf,44.86793224564876,0.9582641267099634,0.6192039043146529,0.14566580412995467
7176-92135-0002_2830-3979-0001_4446-2271-0016,s3,inf,34.1638310264019,5.676202749837586,6.309774502797301,0.2029495207090687
