scene,speaker,system,depth,si_sdr
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,2,-2.843907099358063
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,3,-7.87125951787755
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,1,23.530852488087454
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,3,-12.57452694509155
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,2,-17.93920919449381
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,3,-6.377379519145219
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,1,33.721325301454726
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,2,11.732743947104282
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,3,4.654797261021554
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,1,37.984232576335984
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,3,-11.092582991158665
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,no_recursion,1,inf
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,no_recursion,2,9.09104247783215
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,no_recursion,3,-0.681590127545097
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,no_recursion,1,41.875032820279834
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,no_recursion,2,10.309232299157443
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,no_recursion,3,4.456244021058432
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,no_recursion,1,33.13493014734099
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,no_recursion,2,nan
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,no_recursion,3,-0.007384240291689529
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,ungated_deflation,1,inf
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,ungated_deflation,2,9.09104247783215
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,ungated_deflation,3,-0.681590127545097
