scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00045_672-8224-4077,real,0.0,3,0.1758382840933419,0.13293727253264825,0.0,0.04290101156069364,0.6417078950650646,3,3,0,0,1494720,0.6417078950650646,0.0
long_00045_672-8224-4077,real_index_order,0.0,3,0.1758382840933419,0.13293727253264825,0.0,0.04290101156069364,0.6417078950650646,3,3,0,0,1494720,0.6417078950650646,0.0
long_00046_5142-3575-908,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1374001,1.0,0.0
long_00046_5142-3575-908,real,0.0,3,0.12418695474020762,0.08694899057569827,0.0,0.03723796416450934,0.722855464159812,3,3,0,0,1374001,0.722855464159812,0.0
long_00046_5142-3575-908,real_index_order,0.0,3,0.12418695474020762,0.08694899057569827,0.0,0.03723796416450934,0.722855464159812,3,3,0,0,1374001,0.722855464159812,0.0
long_00047_4970-1320-1221,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1371320,1.0,0.0
long_00047_4970-1320-1221,real,0.0,3,0.1413601493451565,0.13525654114284047,0.0,0.006103608202316016,0.6680534055727554,3,3,0,0,1371320,0.6680534055727554,0.0
long_00047_4970-1320-1221,real_index_order,0.0,3,0.1413601493451565,0.13525654114284047,0.0,0.006103608202316016,0.6680534055727554,3,3,0,0,1371320,0.6680534055727554,0.0
long_00048_3570-8455-1284,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1345400,1.0,0.0
long_00048_3570-8455-1284,real,0.0,3,0.10241266537832615,0.09187676527426787,0.0,0.010535900104058273,0.8118987871183605,3,3,0,0,1345400,0.8118987871183605,0.0
long_00048_3570-8455-1284,real_index_order,0.0,3,0.10241266537832615,0.09187676527426787,0.0,0.010535900104058273,0.8118987871183605,3,3,0,0,1345400,0.8118987871183605,0.0
long_00049_6829-3575-7021,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1265041,1.0,0.0
long_00049_6829-3575-7021,real,0.0,3,0.09963787734942978,0.09963787734942978,0.0,0.0,0.7602242744063324,3,3,0,0,1265041,0.7602242744063324,0.0
long_00049_6829-3575-7021,real_index_order,0.0,3,0.09963787734942978,0.09963787734942978,0.0,0.0,0.7602242744063324,3,3,0,0,1265041,0.7602242744063324,0.0
