scene,speaker,m,population,mean_variance,margin,vad_coverage,artifact_score
long_00003_3752-6313-3170,s1,3,correct,0.0,0.3555421647088957,0.9407985950642388,0.7174281662205059
long_00003_3752-6313-3170,s1,3,contaminated,0.0,0.3555421647088957,0.9407985950642388,0.7174281662205059
long_00003_3752-6313-3170,s1,3,swapped,0.0,0.3718564145594576,0.9676109930061312,0.7253655035560392
long_00003_3752-6313-3170,s1,3,clean_correct,0.0,0.4559682492213845,0.8111193271097143,0.7146162081371118
long_00003_3752-6313-3170,s1,3,clean_swapped,0.0,0.34297658893479666,0.0009628123363219028,0.7996943074514573
long_00003_3752-6313-3170,s2,3,honest,0.0,0.49617274765124875,0.9802563642077852,0.8004374357702195
long_00003_3752-6313-3170,s2,3,correct,0.0,0.49617274765124875,0.9802563642077852,0.8004374357702195
long_00003_3752-6313-3170,s2,3,contaminated,3.89695840029776e-05,0.49617274765124875,0.9802563642077852,0.8004374357702195
long_00003_3752-6313-3170,s2,3,swapped,0.0,0.24290641040832356,0.937472874481809,0.7451572285862459
long_00003_3752-6313-3170,s2,3,clean_correct,0.0,0.5610179241365891,0.828211287208728,0.7842810662032758
long_00003_3752-6313-3170,s2,3,clean_swapped,0.0,0.23750847530534652,0.3990444334695221,0.8252209349872819
long_00003_3752-6313-3170,s3,3,honest,0.0,0.4298501529791311,0.9761873581281648,0.7354917849686301
long_00003_3752-6313-3170,s3,3,correct,0.0,0.4298501529791311,0.9761873581281648,0.7354917849686301
long_00003_3752-6313-3170,s3,3,contaminated,0.0,0.4298501529791311,0.9761873581281648,0.7354917849686301
long_00003_3752-6313-3170,s3,3,swapped,0.0,0.40026975855940095,0.9836010709504686,0.7572878482720915
long_00003_3752-6313-3170,s3,3,clean_correct,0.0,0.47811675505835205,0.8353995692916594,0.7266481590022807
long_00003_3752-6313-3170,s3,3,clean_swapped,0.0,0.27439119262314193,0.8502779232873523,0.7506001091017702
long_00004_1988-2412-422,s1,3,honest,0.0,0.40859917920444566,1.0,0.7393545229444779
long_00004_1988-2412-422,s1,3,correct,0.0,0.40859917920444566,1.0,0.7393545229444779
long_00004_1988-2412-422,s1,3,contaminated,0.0,0.40859917920444566,1.0,0.7393545229444779
long_00004_1988-2412-422,s1,3,swapped,0.0,0.4584582529653523,0.975177816224529,0.7420389042482715
long_00004_1988-2412-422,s1,3,clean_correct,0.0,0.48885520144025163,1.0,0.7223804945865459
long_00004_1988-2412-422,s1,3,clean_swapped,0.0,0.44861219594768753,0.0008890811226451365,0.8056590670518796
long_00004_1988-2412-422,s2,3,honest,0.0,0.39109997566718524,0.9486464169406245,0.7791323170057507
long_00004_1988-2412-422,s2,3,correct,0.0,0.39109997566718524,0.9486464169406245,0.7791323170057507
long_00004_1988-2412-422,s2,3,contaminated,6.771131116924421e-05,0.39109997566718524,0.9486464169406245,0.7791323170057507
long_00004_1988-2412-422,s2,3,swapped,0.0,0.36121572556755266,1.0,0.7641015224822286
long_00004_1988-2412-422,s2,3,clean_correct,0.0,0.5651828707047966,0.9850557947863129,0.7482291544020059
long_00004_1988-2412-422,s2,3,clean_swapped,0.0,0.15023309000839935,0.48173357410751494,0.8115296867804003
long_00004_1988-2412-422,s3,3,honest,0.0,0.5477619748183149,1.0,0.7182498618097918
long_00004_1988-2412-422,s3,3,correct,0.0,0.5477619748183149,1.0,0.7182498618097918
long_00004_1988-2412-422,s3,3,contaminated,0.0,0.5477619748183149,1.0,0.7182498618097918
long_00004_1988-2412-422,s3,3,swapped,0.0,0.5119465788572823,1.0,0.7358792542609426
long_00004_1988-2412-422,s3,3,clean_correct,0.0,0.5572685596379192,1.0,0.71450326521921
long_00004_1988-2412-422,s3,3,clean_swapped,0.0,0.2891000789969267,0.8970934214836653,0.7157377085888673
long_00005_8297-1462-2078,s1,3,honest,0.0,0.5291503599561109,0.9376814658210008,0.7297396120137528
long_00005_8297-1462-2078,s1,3,correct,0.0,0.5291503599561109,0.9376814658210008,0.7297396120137528
long_00005_8297-1462-2078,s1,3,contaminated,0.0,0.5291503599561109,0.9376814658210008,0.7297396120137528
long_00005_8297-1462-2078,s1,3,swapped,0.0,0.535918713721375,0.9728188865398167,0.7446704419913591
long_00005_8297-1462-2078,s1,3,clean_correct,0.0,0.5873631310328274,0.7869978858350951,0.7339712947676936
long_00005_8297-1462-2078,s1,3,clean_swapped,0.0,0.49311926881204765,0.0,0.8146891645963736
long_00005_8297-1462-2078,s2,3,honest,0.0,0.23532438908901798,0.9246898319827862,0.7421371715423823
long_00005_8297-1462-2078,s2,3,correct,0.0,0.23532438908901798,0.9246898319827862,0.7421371715423823
long_00005_8297-1462-2078,s2,3,contaminated,3.7830304254158606e-05,0.23532438908901798,0.9246898319827862,0.7421371715423823
long_00005_8297-1462-2078,s2,3,swapped,0.0,0.13556935549068716,0.9662630285827649,0.7586569927362233
